census_block_group,Median Esimated Visitor Count,Total Population,Percent Male,Median Age,Percent Two races excluding Some other race and three or more races,Percent White alone,Percent Black or African American alone,Percent American Indian and Alaska Native alone,Percent Native Hawaiian and Other Pacific Islander alone,Percent Some other race alone,Percent Two or more races,Percent Asian alone & Two races including Some other race,Total Households,Percent Households with one or more people under 18 years,Percent Households with one or more people 60 years and over,Percent over 25 without a high school diploma,Percent over 25 with a bachelor’s degree or higher,Percent Households Income in the past 12 months below poverty level,Median Household Income,Percent Household received Food Stamps/SNAP,Percent Households received Food Stamps/SNAP have disability,Percent Employed,Percent Civilian labor force,Cluster
360050083002,11.921326164874554,833,0.5054021608643458,30.0,0.1452581032412965,0.1056422569027611,0.13805522208883553,0.010804321728691477,0.0,0.6002400960384153,0.1452581032412965,0.0,311,0.33762057877813506,0.08038585209003216,0.4069192751235585,0.07907742998352553,0.40836012861736337,,0.5016077170418006,0.6346153846153846,0.6748878923766816,0.5354141656662665,2
360050083003,12.047492502182909,1545,0.4899676375404531,31.1,0.0,0.1197411003236246,0.2459546925566343,0.0,0.0,0.5404530744336571,0.0,0.09385113268608414,469,0.3560767590618337,0.3923240938166312,0.23857302118171686,0.2798216276477146,0.3176972281449893,30820.0,0.44349680170575695,0.4471153846153846,0.8518518518518519,0.5242718446601942,2
360050083004,11.225182927772536,1427,0.5900490539593553,32.9,0.1107217939733707,0.13524877365101612,0.3265592151366503,0.0189208128941836,0.0,0.3973370707778556,0.12193412754029433,0.011212333566923615,469,0.4754797441364606,0.31343283582089554,0.4809417040358744,0.20291479820627806,0.326226012793177,31675.0,0.31343283582089554,0.564625850340136,0.9110787172011662,0.4807288016818501,2
360050083005,10.076653220877642,1019,0.5299313052011776,24.8,0.0,0.08537782139352308,0.4249263984298332,0.0,0.0,0.4828263002944063,0.006869479882237488,0.006869479882237488,306,0.5294117647058824,0.4477124183006536,0.386317907444668,0.08651911468812877,0.4248366013071895,26875.0,0.5751633986928104,0.5113636363636365,0.7036144578313253,0.4072620215897939,2
360050083006,6.791443850267379,635,0.4377952755905512,32.8,0.0,0.13700787401574804,0.18425196850393705,0.0,0.0,0.6787401574803149,0.0,0.0,230,0.3043478260869565,0.3826086956521739,0.3583333333333333,0.10208333333333333,0.22608695652173916,,0.3869565217391304,0.8651685393258427,0.8776595744680851,0.5921259842519685,2
360050084001,8.206939446443645,754,0.5702917771883289,38.1,0.04111405835543767,0.13925729442970822,0.383289124668435,0.09946949602122017,0.0,0.09549071618037136,0.07559681697612733,0.2413793103448276,195,0.4,0.5282051282051282,0.17100371747211895,0.28066914498141265,0.14358974358974358,70208.0,0.2564102564102564,0.8400000000000001,0.9060773480662984,0.480106100795756,3
360050084002,16.840185216573957,2145,0.4876456876456877,31.7,0.02843822843822844,0.4289044289044289,0.2624708624708625,0.0,0.0,0.24382284382284386,0.03403263403263404,0.03636363636363636,558,0.4551971326164875,0.3476702508960573,0.1855828220858896,0.14493865030674846,0.08781362007168457,86515.0,0.2311827956989247,0.6434108527131783,0.969758064516129,0.4624708624708625,3
360050085001,5.143542231878512,542,0.4077490774907749,31.4,0.016605166051660517,0.2158671586715867,0.1974169741697417,0.0,0.0,0.5479704797047971,0.038745387453874534,0.022140221402214017,135,0.5111111111111111,0.23703703703703705,0.3023952095808383,0.16167664670658682,0.2222222222222222,40795.0,0.3111111111111111,0.047619047619047616,0.7250996015936255,0.46309963099631,2
360050085002,11.587529976019185,2416,0.4366721854304636,30.4,0.008278145695364239,0.10968543046357616,0.3667218543046358,0.00413907284768212,0.0,0.4971026490066226,0.022350993377483443,0.014072847682119206,832,0.3605769230769231,0.2668269230769231,0.2638981915606162,0.16141995981245813,0.3305288461538461,31282.0,0.4507211538461538,0.35200000000000004,0.8472998137802608,0.4445364238410596,2
360050085003,7.788438281061034,920,0.4326086956521739,34.4,0.03804347826086957,0.12608695652173912,0.2902173913043478,0.028260869565217388,0.0,0.4891304347826087,0.056521739130434775,0.028260869565217388,400,0.3625,0.29,0.2003257328990228,0.3289902280130293,0.27,46818.0,0.215,0.7093023255813954,0.9708029197080292,0.4467391304347826,2
360050085004,4.127939949958298,339,0.4424778761061947,39.2,0.0,0.1504424778761062,0.16224188790560473,0.0,0.0,0.6873156342182891,0.0,0.0,188,0.2765957446808511,0.32446808510638303,0.3333333333333333,0.08333333333333333,0.39361702127659576,20556.0,0.6223404255319149,0.7606837606837606,1.0,0.2920353982300885,2
360050085005,11.014866730381224,1414,0.4476661951909477,29.4,0.0,0.12093352192362093,0.24964639321074966,0.01909476661951909,0.0,0.5777934936350778,0.026874115983026883,0.03253182461103253,397,0.4231738035264483,0.2896725440806045,0.2962962962962963,0.062169312169312166,0.41309823677581853,26875.0,0.5264483627204031,0.2727272727272727,0.7917525773195876,0.342998585572843,2
360050086001,9.290422535211267,649,0.514637904468413,46.3,0.02157164869029276,0.4345146379044684,0.288135593220339,0.0,0.0,0.2049306625577812,0.03852080123266564,0.05084745762711865,261,0.3065134099616858,0.4827586206896552,0.28775510204081634,0.1489795918367347,0.11494252873563217,75660.0,0.2681992337164751,0.4285714285714286,0.9711815561959656,0.5346687211093991,3
360050086002,12.62866814465184,2240,0.3928571428571429,23.4,0.04464285714285714,0.19285714285714287,0.5924107142857142,0.0,0.0,0.13660714285714284,0.078125,0.033482142857142856,716,0.4092178770949721,0.38826815642458096,0.3889409559512652,0.08247422680412371,0.5307262569832403,23765.0,0.6215083798882681,0.4853932584269664,0.9130434782608696,0.34910714285714284,2
360050086003,6.8321375345965505,1047,0.5319961795606495,36.5,0.039159503342884434,0.3543457497612225,0.5205348615090736,0.0,0.0,0.08595988538681948,0.039159503342884434,0.0,483,0.19254658385093168,0.5238095238095238,0.47548291233283796,0.041604754829123326,0.5942028985507246,12982.0,0.6811594202898551,0.7051671732522796,0.9632107023411371,0.28557784145176696,2
360050087001,8.394711148773121,1383,0.5234996384671005,29.0,0.0,0.07809110629067245,0.3362255965292842,0.0,0.0,0.5610990600144613,0.0,0.024584237165582067,438,0.6301369863013698,0.2922374429223744,0.34118967452300786,0.12345679012345677,0.4908675799086758,22770.0,0.4794520547945205,0.3380952380952381,0.7492163009404389,0.4613159797541576,2
