,cdi,cluster,cdi_per_capita,week,date_range_start
50,-54792.55526281905,2,0.011887804578765423,14,2020-03-30 00:00:00-04:00
51,-77361.43077190065,3,0.008457972063313024,14,2020-03-30 00:00:00-04:00
52,-47128.64094908431,0,0.006860686377516271,15,2020-04-06 00:00:00-04:00
53,-74644.27318810538,1,0.0026813276724851633,15,2020-04-06 00:00:00-04:00
54,-65866.84426541316,2,0.006587794705577745,15,2020-04-06 00:00:00-04:00
55,-87378.86065950316,3,0.004401267714032777,15,2020-04-06 00:00:00-04:00
56,-49308.592881557684,0,0.006070572635418152,16,2020-04-13 00:00:00-04:00
57,-74176.34291982141,1,0.002388679644416368,16,2020-04-13 00:00:00-04:00
58,-69826.28052880461,2,0.005662255422529114,16,2020-04-13 00:00:00-04:00
59,-89202.42227158825,3,0.003788412375739666,16,2020-04-13 00:00:00-04:00
60,-49928.46213678914,0,0.006152347101688639,17,2020-04-20 00:00:00-04:00
61,-72717.64649603769,1,0.00248794146812309,17,2020-04-20 00:00:00-04:00
62,-70775.70062661485,2,0.00569091684006603,17,2020-04-20 00:00:00-04:00
63,-89199.87674747671,3,0.00393888701822062,17,2020-04-20 00:00:00-04:00
64,-49584.10856147519,0,0.0064193227616691,18,2020-04-27 00:00:00-04:00
65,-71266.82581250124,1,0.002686613564413825,18,2020-04-27 00:00:00-04:00
66,-70145.29067717383,2,0.005960661885760782,18,2020-04-27 00:00:00-04:00
67,-88492.85445074346,3,0.00425445572383184,18,2020-04-27 00:00:00-04:00
68,-48188.20038507383,0,0.006874690875567399,19,2020-05-04 00:00:00-04:00
69,-69603.9336679917,1,0.0029430403540139575,19,2020-05-04 00:00:00-04:00
70,-68039.39789262896,2,0.006513721898485419,19,2020-05-04 00:00:00-04:00
71,-87016.77229428597,3,0.004681209487127558,19,2020-05-04 00:00:00-04:00
72,-47455.76091812838,0,0.007371718578131363,20,2020-05-11 00:00:00-04:00
73,-68724.29514977174,1,0.0032653505203497366,20,2020-05-11 00:00:00-04:00
74,-66425.4995845012,2,0.007129047772299837,20,2020-05-11 00:00:00-04:00
75,-86600.92513255368,3,0.005140707498224094,20,2020-05-11 00:00:00-04:00
76,-45777.21175633832,0,0.00808990437653999,21,2020-05-18 00:00:00-04:00
77,-65938.17486960698,1,0.0036907839805148074,21,2020-05-18 00:00:00-04:00
78,-63812.78091506726,2,0.007938592286479754,21,2020-05-18 00:00:00-04:00
79,-83085.2683994494,3,0.0057687039584087664,21,2020-05-18 00:00:00-04:00
80,-44056.93847741983,0,0.008748367105631006,22,2020-05-25 00:00:00-04:00
81,-65189.66381429114,1,0.00409214011485596,22,2020-05-25 00:00:00-04:00
82,-60597.17686446807,2,0.008780412567446567,22,2020-05-25 00:00:00-04:00
83,-81676.09758511659,3,0.0064221345462526875,22,2020-05-25 00:00:00-04:00
84,-42509.43481448555,0,0.009685410593561585,23,2020-06-01 00:00:00-04:00
85,-64518.45557672985,1,0.004638857407978865,23,2020-06-01 00:00:00-04:00
86,-57665.47984316157,2,0.009779591218268604,23,2020-06-01 00:00:00-04:00
87,-80670.26527722887,3,0.007261270529186838,23,2020-06-01 00:00:00-04:00
88,-39208.98766287077,0,0.010469747752611185,24,2020-06-08 00:00:00-04:00
89,-61021.37062643342,1,0.005111820606473908,24,2020-06-08 00:00:00-04:00
90,-52938.64338455521,2,0.010667828025326398,24,2020-06-08 00:00:00-04:00
91,-76961.23135118357,3,0.007989546950131274,24,2020-06-08 00:00:00-04:00
92,-38006.60153780426,0,0.01103375128256372,25,2020-06-15 00:00:00-04:00
93,-61082.16010400811,1,0.005476016657797698,25,2020-06-15 00:00:00-04:00
94,-51729.135230046915,2,0.011304536776129982,25,2020-06-15 00:00:00-04:00
95,-75558.14822833413,3,0.008632053215363297,25,2020-06-15 00:00:00-04:00
96,-36519.588755498386,0,0.011842615219914223,26,2020-06-22 00:00:00-04:00
97,-59556.915525480435,1,0.005975942148334656,26,2020-06-22 00:00:00-04:00
98,-49623.32305587747,2,0.012079966857580459,26,2020-06-22 00:00:00-04:00
99,-73158.21908233842,3,0.009374831680388057,26,2020-06-22 00:00:00-04:00
100,-35025.22608920413,0,0.012499883769846992,27,2020-06-29 00:00:00-04:00
101,-58909.37208570374,1,0.006395864464341733,27,2020-06-29 00:00:00-04:00
102,-47616.45518724197,2,0.01283752444736387,27,2020-06-29 00:00:00-04:00
103,-70761.73050305013,3,0.010001201188545755,27,2020-06-29 00:00:00-04:00
104,-34157.91428817419,0,0.01306591685396007,28,2020-07-06 00:00:00-04:00
105,-58450.227296319994,1,0.006777248255011495,28,2020-07-06 00:00:00-04:00
106,-46666.15909358746,2,0.013457229598156642,28,2020-07-06 00:00:00-04:00
107,-69975.26765217833,3,0.010494044784594246,28,2020-07-06 00:00:00-04:00
108,-33153.77453035966,0,0.013489157191529723,29,2020-07-13 00:00:00-04:00
109,-56549.892912752526,1,0.00712803400305455,29,2020-07-13 00:00:00-04:00
110,-45515.525438774275,2,0.013835534121137222,29,2020-07-13 00:00:00-04:00
111,-68007.95786299916,3,0.010942877073501455,29,2020-07-13 00:00:00-04:00
112,-31785.806803390253,0,0.013280744187043959,30,2020-07-20 00:00:00-04:00
113,-53430.827874286915,1,0.0071948091977530205,30,2020-07-20 00:00:00-04:00
114,-43987.52765614896,2,0.01362851711600108,30,2020-07-20 00:00:00-04:00
115,-65026.996844605485,3,0.011006989556944206,30,2020-07-20 00:00:00-04:00
116,-31938.75575209163,0,0.013432068962683147,31,2020-07-27 00:00:00-04:00
117,-52466.1723518497,1,0.007517503968446896,31,2020-07-27 00:00:00-04:00
118,-43630.75186492166,2,0.013897721964718088,31,2020-07-27 00:00:00-04:00
119,-64334.57356891591,3,0.01132411550762961,31,2020-07-27 00:00:00-04:00
120,-32075.286046218003,0,0.013477514644625734,32,2020-08-03 00:00:00-04:00
121,-50558.06714987501,1,0.007694874279951635,32,2020-08-03 00:00:00-04:00
122,-43019.28120090085,2,0.014009331540882868,32,2020-08-03 00:00:00-04:00
123,-63208.20169396109,3,0.011496596252127981,32,2020-08-03 00:00:00-04:00
124,-33138.07983604913,0,0.013488313318209932,33,2020-08-10 00:00:00-04:00
125,-50655.57052352221,1,0.007988912839115942,33,2020-08-10 00:00:00-04:00
126,-44677.37122301441,2,0.014079436138899464,33,2020-08-10 00:00:00-04:00
127,-64141.35002334615,3,0.011666712067324796,33,2020-08-10 00:00:00-04:00
128,-34341.7896320728,0,0.013327472263408661,34,2020-08-17 00:00:00-04:00
129,-50153.232528909975,1,0.008340318792434718,34,2020-08-17 00:00:00-04:00
130,-46500.357571599874,2,0.013958688679496786,34,2020-08-17 00:00:00-04:00
131,-64643.74490271434,3,0.011873183758903002,34,2020-08-17 00:00:00-04:00
132,-35279.0976579132,0,0.013025473043671727,35,2020-08-24 00:00:00-04:00
133,-51085.979854513775,1,0.008650763330143044,35,2020-08-24 00:00:00-04:00
134,-48024.67733516722,2,0.013718360191900782,35,2020-08-24 00:00:00-04:00
135,-65556.53941029293,3,0.01194577920151956,35,2020-08-24 00:00:00-04:00
136,-35223.95451635787,0,0.012827771756323795,36,2020-08-31 00:00:00-04:00
137,-51075.106195854256,1,0.00889199206163958,36,2020-08-31 00:00:00-04:00
138,-48111.732410795616,2,0.013616846166849498,36,2020-08-31 00:00:00-04:00
139,-65430.78930243648,3,0.012004553606723185,36,2020-08-31 00:00:00-04:00
140,-35149.38065650962,0,0.012859545247415985,37,2020-09-07 00:00:00-04:00
141,-51464.62286386706,1,0.009163976552368667,37,2020-09-07 00:00:00-04:00
142,-47815.20235643,2,0.013816855024287698,37,2020-09-07 00:00:00-04:00
143,-65707.74178172194,3,0.012243644035924638,37,2020-09-07 00:00:00-04:00
144,-35494.78885837602,0,0.012601104763917742,38,2020-09-14 00:00:00-04:00
145,-52545.47047901389,1,0.009173959530646049,38,2020-09-14 00:00:00-04:00
146,-48874.03326730285,2,0.013571483309678268,38,2020-09-14 00:00:00-04:00
147,-66174.9218247769,3,0.012255139400791842,38,2020-09-14 00:00:00-04:00
148,-34479.60181629287,0,0.01254630001830683,39,2020-09-21 00:00:00-04:00
149,-51603.66002363348,1,0.009415645034624285,39,2020-09-21 00:00:00-04:00
150,-48274.591968546694,2,0.01363559044270172,39,2020-09-21 00:00:00-04:00
151,-65153.62263596273,3,0.012386784859194836,39,2020-09-21 00:00:00-04:00
152,-33940.862873117374,0,0.0123765052900309,40,2020-09-28 00:00:00-04:00
153,-50975.273166108724,1,0.009416599531175426,40,2020-09-28 00:00:00-04:00
154,-47631.293592195485,2,0.013611924044158107,40,2020-09-28 00:00:00-04:00
155,-64472.51325528126,3,0.012390044945359538,40,2020-09-28 00:00:00-04:00
156,-32725.41393464152,0,0.012250209435039964,41,2020-10-05 00:00:00-04:00
157,-49735.61511428302,1,0.00918490906089974,41,2020-10-05 00:00:00-04:00
158,-46473.67539065831,2,0.013435100284935969,41,2020-10-05 00:00:00-04:00
159,-63162.54643995597,3,0.012228161281261415,41,2020-10-05 00:00:00-04:00
160,-31103.585843276178,0,0.012558494819145612,42,2020-10-12 00:00:00-04:00
161,-46185.46345109125,1,0.00965144472284059,42,2020-10-12 00:00:00-04:00
162,-43839.69387901139,2,0.013897472047597227,42,2020-10-12 00:00:00-04:00
163,-59713.25375226333,3,0.012810635726640743,42,2020-10-12 00:00:00-04:00
164,-31642.9062439371,0,0.012173558354548643,43,2020-10-19 00:00:00-04:00
165,-45802.29457152932,1,0.00937960849737495,43,2020-10-19 00:00:00-04:00
166,-44098.89608659159,2,0.013507501780319524,43,2020-10-19 00:00:00-04:00
167,-59422.80270156705,3,0.012615074112969043,43,2020-10-19 00:00:00-04:00
168,-32100.662714655522,0,0.011905147191587436,44,2020-10-26 00:00:00-04:00
169,-45685.14290224835,1,0.009158306155750206,44,2020-10-26 00:00:00-04:00
170,-44511.86691765591,2,0.013211988238558911,44,2020-10-26 00:00:00-04:00
171,-58991.02090059199,3,0.012375117629324178,44,2020-10-26 00:00:00-04:00
172,-32040.628657154666,0,0.011498103216783254,45,2020-11-02 00:00:00-05:00
173,-44509.176122475226,1,0.009000137912926838,45,2020-11-02 00:00:00-05:00
174,-44931.16747967557,2,0.012776629229141233,45,2020-11-02 00:00:00-05:00
175,-59127.30436779176,3,0.012168805342510556,45,2020-11-02 00:00:00-05:00
176,-32939.43255242018,0,0.011217010293158886,46,2020-11-09 00:00:00-05:00
177,-45381.51447188501,1,0.008697663508046514,46,2020-11-09 00:00:00-05:00
178,-46000.18121338505,2,0.012378995744196928,46,2020-11-09 00:00:00-05:00
179,-59873.04702284316,3,0.011934784829196353,46,2020-11-09 00:00:00-05:00
180,-33479.21757457299,0,0.010773763847577835,47,2020-11-16 00:00:00-05:00
181,-46457.08202878656,1,0.008381973508228177,47,2020-11-16 00:00:00-05:00
182,-46717.59299991855,2,0.0118176765681096,47,2020-11-16 00:00:00-05:00
183,-60358.86327519441,3,0.011810983722722431,47,2020-11-16 00:00:00-05:00
184,-34420.86814328004,0,0.010430704948806008,48,2020-11-23 00:00:00-05:00
185,-47599.97012054476,1,0.008111352424644735,48,2020-11-23 00:00:00-05:00
186,-47759.19846628803,2,0.011419095442323546,48,2020-11-23 00:00:00-05:00
187,-62520.919271572,3,0.011700384914634447,48,2020-11-23 00:00:00-05:00
188,-34830.46845352721,0,0.009662265044912301,49,2020-11-30 00:00:00-05:00
189,-49167.07969366151,1,0.007035869809474791,49,2020-11-30 00:00:00-05:00
190,-49501.54555886045,2,0.01044568830458274,49,2020-11-30 00:00:00-05:00
191,-66710.75627718845,3,0.010732368869270282,49,2020-11-30 00:00:00-05:00
192,-44556.805950505746,0,0.009413837578400823,52,2020-12-21 00:00:00-05:00
193,-57032.853728930844,1,0.006704649058090673,52,2020-12-21 00:00:00-05:00
194,-63609.08088465124,2,0.010055208177594,52,2020-12-21 00:00:00-05:00
195,-77243.72535698822,3,0.010381162009921063,52,2020-12-21 00:00:00-05:00
